OMEGAWIKI	SEEALSO	GLOSS	SEMANTICFIELD	DEFINITION	POS	WOLD	SWADESH1952	IELEX	TOB110	LeipzigJakarta100	ABVD	CALMSEA200
5423	-	MANY	Quantity	An indefinite large number of.	Function word	13.15	-	many	many	-	-	-
7679	-	MARROW	Agriculture and vegetation	Any of various squash plants grown for their elongated fruit with smooth dark green skin and whitish flesh.	Noun	-	-	-	-	-	-	-
2300	-	MEAT	Food and drink	The edible flesh of animals, especially that of mammals.	Noun	5.61	-	-	meat	flesh/meat	meat/flesh	meat/animal
5919	-	MEDICINE	The body	A substance which specifically promotes healing.	Noun	4.88	-	-	-	-	-	-
2358	-	MILK FLUID	Food and drink	The whitish fluid secreted by the mammary gland for the nourishment of the young; composed of carbohydrates, proteins, fats, mineral salts, vitamins, and antibodies.	Noun	5.86	-	-	-	-	-	-
5870	-	MONKEY	Animals	A primate from the group “New World monkeys” or “Old World monkeys” (Simiiformes, excluding the superfamily Hominoidea or apes) that lives mainly in rainforests and is distinguished from an Ape by its smaller size and its tail.	Noun	3.76	-	-	-	-	-	-
5729	-	MOON	The physical world	A natural satellite of a planet.	Noun	1.53	-	-	moon	-	moon	moon
1454028	-	MORTAR CRUSHER	Food and drink	A bowl used to crush and grind ingredients with a pestle.	Noun	5.58	-	-	-	-	-	-
630453	-	MOSQUITO	Animals	A small flying insect (of the family Culicidae) known for biting and sucking blood.	Noun	3.832	-	-	-	-	-	-
5463	-	MOTHER	Kinship	A woman who has at least one child.	Noun	2.36	-	mother	-	-	mother	-
2421	-	MOUNTAIN	The physical world	A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area.	Noun	1.22	-	mountain	mountain	-	-	mountain
332000	161654	MOUTH	The body	Opening in the lower half of a human face which is used for food ingestion and articulation.	Noun	4.24	-	mouth	mouth	mouth	mouth	mouth
2444	-	MUSHROOM	Agriculture and vegetation	An organism belonging to a family of Basidiomycetes that are characterized by the production of spores on gills.	Noun	8.98	-	-	-	-	-	-
156863	-	NAIL	Basic actions and technology	A spike-shaped metal fastener used for joining wood or similar materials.	Noun	9.5	-	-	-	-	-	-
5995	-	NAME	Speech and language	Any word or phrase which designates a particular person, place, class or thing.	Noun	18.28	-	name	name	name	name	name
5566	-	NARROW	Spatial relations	Having a small width.	Adjective	12.62	-	narrow	-	-	narrow	-
1417428	-	NASAL MUCUS, SNOT	The body	Mucus from the nose.	Noun	4.232	-	-	-	-	-	-
7690	-	NAVEL	The body	A scar where the umbilical cord was attached.	Noun	4.43	-	-	-	-	-	navel
869106	-	NEAR	Spatial relations	Not far distant in time or space or degree or circumstances.	Adverb	12.43	-	near	near	-	near	near
5823	-	NECK	The body	The part of the body (found in some animals, including humans) that connects the head and the trunk.	Noun	4.28	-	neck	neck	neck	neck	neck
5951	337519	NEEDLE FOR SEWING	Clothing and grooming	A thin, sharp implement used in sewing, knitting and acupuncture.	Noun	6.36	-	-	-	-	-	needle
5484	-	NEW	Time	Recently made, created or begun.	Adjective	14.13	-	new	new	new	new	new
5486	-	NIGHT	Time	The period between sunset and sunrise, when a location faces far away from the sun, thus when the sky is dark.	Noun	14.42	-	night	night	night	night	night
6193	6208	NINE	Quantity	The ninth natural number (9).	Function word	13.09	-	-	-	-	-	nine
5568	5576	NO	Cognition	A word used to show disagreement of something.	Function word	17.56	-	-	-	-	-	-
5471	-	NOSE	The body	The organ of the face used to breath and smell.	Noun	4.23	-	nose	nose	nose	nose	nose
5495	-	NOT	Miscellaneous function words	Negates the meaning of the modified verb.	Function word	24.06	-	not	not	not	no, not	-
5482	-	OLD	Time	Having lived or existed for a relatively long period of time.	Adjective	14.15	-	old	-	old	old	old
6244	5433	ONE	Quantity	The cardinal number that directly follows zero and precedes two, represented in Roman numerals as I, and in Arabic numerals as 1.	Function word	13.01	-	one	one	one	One	one
513017	-	OPEN	Spatial relations	To make something accessible or removing an obstacle to something being accessible.	Verb	12.24	-	-	-	-	-	-
1406403	6437;6406	OTHER	Miscellaneous function words	The rest of a group of.	Function word	24.11	-	other	-	-	other	-
1031630	-	OTTER	Animals	Any of several aquatic, furbearing, weasellike mammals of the genus Lutra , having webbed feet and a long, slightly flattened tail.	Noun	-	-	-	-	-	-	-
496633	-	PAINFUL	Sense perception	Full of pain; causing uneasiness or distress, either physical or mental.	Adjective	-	-	-	-	-	-	-
528656	-	PALM TREE	Agriculture and vegetation	Any of various evergreen trees from the family Palmae or Arecaceae, which are mainly found in the tropics.	Noun	8.81	-	-	-	-	-	-
4382	-	PATH	Motion	A route or track between one place to another.	Noun	10.72	-	-	-	-	-	-
5473	-	PENIS	The body	The male sexual organ for copulation and urination; the tubular portion of the male genitalia (excluding the scrotum).	Noun	4.492	-	-	-	-	-	-
333730	2234	PERSON	Kinship	A human being.	Noun	2.1	-	-	person	-	person/human being	person/human being
1511162	-	PIERCE	Basic actions and technology	to puncture; to break through	Verb	-	-	-	-	-	-	-
5836	-	PIG	Animals	A common, four-legged animal (Sus scrofa) that has cloven hooves, bristles and a nose adapted for digging and is farmed by humans for its meat.	Noun	3.35	-	-	-	-	-	-
160433	-	PISS	The body	To allow urine to flow from the bladder out of the body.	Verb	4.65	-	-	-	-	-	-
619975	-	PLANT, GROW	Agriculture and vegetation	To put a plant in the ground so that it strikes root and grows.	Verb	8.531	-	-	-	-	to grow	-
1511168	-	PLANTAIN	Agriculture and vegetation	A plant of the genus Plantago, with a rosette of sessile leaves about 10 cm long with a narrow part instead of a petiole, and with a spike inflorescence with the flower spacing varying widely among the species.	Noun	-	-	-	-	-	-	-
6010	-	PLAY	Emotions and values	To act in a manner such that one has fun; to engage in playful activities expressly for the purpose of recreation.	Verb	16.26	-	to play	-	-	-	-
2847	-	POISON	The body	A substance which, when ingested, inhaled, or absorbed, or when applied to, injected into, or developed within the body, in relatively small amounts, may cause injury, harm, or destruction to organs, tissue, or life.	Noun	4.89	-	-	-	-	-	-
1510937	-	POUND	Basic actions and technology	To strike hard, usually repeatedly.	Verb	9.211	-	-	-	-	-	-
6071	840722	PULL	Basic actions and technology	To apply a force to (an object), in order that it moves towards the origin of the force that was applied.	Verb	9.33	-	to pull	-	-	-	-
1507419	-	PULL OF SKIN	Basic actions and technology	Strip or pull off the skin or hide of	Verb	9.29	-	-	-	-	-	-
6068	-	PUSH	Motion	To apply a force to (an object), in order that it moves away from the origin of the force that was applied.	Verb	10.67	-	to push	-	-	-	-
429615	440073	PUT	Spatial relations	To set or place an object in a different place than it original was.	Verb	12.12	-	-	-	-	-	-
3100	-	RAIN, PRECIPATION	The physical world	Precipitation in the form of liquid water drops with diameters greater than 0.5 millimetres.	Noun	1.75	-	-	rain	rain	rain	rain
5523	-	RAINING	The physical world	To fall from the clouds in drops of water.	Verb	-	-	-	-	-	-	-
6233	-	RAT	Animals	A nearly omnivorous rodent of the genus ''rattus'' characterised by a long hairless tail, rounded ears, and a pointed nose.	Noun	3.63	-	-	-	-	-	rat/rodent
1333710	-	RED	Sense perception	Having red as its colour.	Adjective	15.66	-	red	red	red	red	red
395506	538459;3236	RICE	Agriculture and vegetation	Seeds of the rice plant (Oryza sativa) used as food.	Noun	8.48	-	-	-	-	-	-
436024	-	RIGHT	Spatial relations	Something that is on the right side relative to another object.	Adjective	12.41	-	right (side)	-	-	-	right side
1378364	-	RIPE	Food and drink	(Of fruits, seeds, etc.) Having reached the stage of development suitable for harvesting and eating.	Adjective	5.123	-	-	-	-	-	-
3253	-	RIVER	The physical world	A stream of water which flows in a channel from high ground to low ground and ultimately to a lake or the sea, except in a desert area where it may dwindle away to nothing.	Noun	1.36	-	river	-	-	-	river/valley
3258	-	ROAD	Motion	A long piece of hard ground that people can drive along from one place to another.	Noun	10.71	-	road	road	-	road/path	road
3266	-	ROCK	The physical world	Any aggregate of minerals that makes up part of the earth's crust. It may be unconsolidated, such as sand, clay, or mud, or consolidated, such as granite, limestone, or coal.	Noun	1.44	-	-	-	-	-	-
3268	-	RODENT	Animals	Any of the relatively small placental mammals that constitute the order Rodentia, having constantly growing incisor teeth specialized for gnawing.	Noun	-	-	-	-	-	-	-
344031	-	ROOF	The house	The structure covering a building.	Noun	7.51	-	-	-	-	-	-
3269	-	ROOT	Agriculture and vegetation	The absorbing and anchoring organ of a vascular plant; it bears neither leaves nor flowers and is usually subterranean.	Noun	8.54	-	root	root	root	root	root
5465	-	ROPE	Basic actions and technology	Thick, strong string made of several strands that have been twisted together.	Noun	9.19	-	rope	-	rope	rope	-
7031	5826	ROTTEN	Food and drink	Having changed its colour, smell or composition (partially or completely), due to being attacked and decomposed by microorganisms (relating to organic matter).	Adjective	5.125	-	rotten (as, a log)	-	-	rotten	-
5984	700103	ROUND	Spatial relations	Circular or having a circular cross-section in at least one direction.	Adjective	12.81	-	-	round	-	-	round
6062	-	RUB	Basic actions and technology	To move one's hand or an object over a surface or other object (maintaining constant contact and applying moderate pressure).	Verb	9.31	-	to rub	-	-	-	rub
6323	-	RUN	Motion	To move quickly by alternately making a short jump off of either foot.	Verb	10.46	-	-	-	-	-	run/flee
5599	-	SALT	Food and drink	A condiment (NaCl - Sodium Chloride) used to add to or enhance the flavour of food (commonly with pepper).	Noun	5.81	-	salt	salt	salt	salt	salt
3305	-	SAND	The physical world	A loose material consisting of small mineral particles, or rock and mineral particles, distinguishable by the naked eye; grains vary from almost spherical to angular, with a diameter range from 1/16 to 2 millimeters.	Noun	1.215	-	sand	sand	sand	sand	-
6075	-	SAY	Speech and language	To communicate orally, using a particular language; to express in words.	Verb	18.22	-	to say	say	to say	to say	-
6047	-	SCRATCH	The body	To rub or scrape (a part of the body) with a sharp object (e.g. to relieve an itching).	Verb	4.8541	-	to scratch (an itch)	-	-	to scratch	scratch (scrape)
6154	-	SEA	The physical world	A body of salt water that is smaller than an ocean and generally in proximity to a continent.	Noun	1.32	-	sea (as in ocean)	-	-	sea	-
6003	-	SEE	Sense perception	To perceive [images] with the eye, without necessarily paying attention to them.	Verb	15.51	-	to see	see	to see	to see	see
3361	-	SEED	Agriculture and vegetation	A mature fertilized plant ovule, consisting of an embryo and its food store surrounded by a protective seed coat (testa).	Noun	8.311	-	seed	seed	-	-	-
6439	-	SELL	Possession	To provide goods or services in exchange for money.	Verb	11.82	-	-	-	-	-	-
7004	-	SEVEN	Quantity	The cardinal number occurring after six and before eight, represented in Roman numerals as VII, in Arabic numerals as 7.	Function word	13.07	-	-	-	-	-	seven
6073	-	SEW	Clothing and grooming	To pass thread repeatedly through fabric or a material, using a needle, in order to join two or more parts or to make a pattern or motif.	Verb	6.35	-	to sew	-	-	to sew	sew
5966	-	SHADE	The physical world	Darkness, where light (particularly sunlight) is blocked.	Noun	1.63	-	-	-	-	-	shade/shadow
5987	-	SHARP	Sense perception	Having the ability to cut easily.	Adjective	15.78	-	sharp (as a knife)	-	-	sharp	sharp
7667	-	SHE	Kinship	A female other; the female previously mentioned. 3rd person singular feminine subject pronoun.	Function word	2.932	-	-	-	-	-	-
332137	-	SHIT	The body	To excrete feces from one's body through the anus.	Verb	4.66	-	-	-	-	-	-
522875	-	SHOOT	Warfare and hunting	To kill a person or an animal with a shot from a firearm.	Verb	20.62	-	-	-	-	-	shoot
6746	-	SHORT	Spatial relations	Small in length by comparison.	Adjective	12.59	-	short	short	-	short	-
6186	-	SHOULDER	The body	One side of the top of the torso, where an arm attaches or joins.	Noun	4.3	-	-	-	-	-	-
155571	-	SHY	Emotions and values	(For a personality) characterized by being uncomfortable with having attention drawn to them, for example when introducing oneself or when speaking in front of an audience.	Adjective	-	-	-	-	-	-	-
7800	-	SICK	The body	Whose health is altered.	Adjective	4.84	-	-	-	-	-	ill
3424	-	SILVER	Basic actions and technology	A very ductile malleable brilliant greyish-white element with symbol Ar and atomic number 47 having the highest electrical and thermal conductivity of any metal.	Noun	9.65	-	-	-	-	-	-
5540	-	SING	Speech and language	To produce harmonious sounds with one's voice.	Verb	18.12	-	to sing	-	-	-	-
6022	-	SIT	Spatial relations	To be in a position with the upper body upright and the legs resting.	Verb	12.13	-	to sit	sit	-	to sit	sit
7003	-	SIX	Quantity	The cardinal number occurring after five and before seven, represented in Roman numerals as VI, in Arabic numerals as 6.	Function word	13.06	-	-	-	-	-	six
3430	-	SKIN	The body	The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.	Noun	4.12	-	-	skin	skin/hide	skin	skin/bark
7039	-	SKY	The physical world	The part of the earth's atmosphere and space outside it that is visible from earth's surface. During the day it is perceived as blue, and at night as black.	Noun	1.51	-	sky	-	-	sky	sky
6519	-	SLEEP	The body	To rest in a state of decreased consciousness and reduced metabolism.	Verb	4.61	-	to sleep	sleep	-	to sleep	sleep/lie down
5509	-	SMALL	Spatial relations	Not large or big; small in size.	Adjective	12.56	-	small	small	small	small	-
6520	-	SMELL, PERCEIVE	Sense perception	To perceive the presence of molecules in the air by inhaling them through the nose.	Verb	15.22	-	to smell (sense odor)	-	-	to sniff, smell	-
6521	-	SMELL, STINK	Sense perception	To give off a smell that can be perceived by the nose.	Verb	15.21	-	-	-	-	-	-
3451	-	SMOKE, EXHAUST	The physical world	An aerosol, consisting of visible particles and gases, produced by the incomplete burning of carbon-based materials, such as wood and fossil fuels.	Noun	1.83	-	smoke	smoke	smoke	smoke	smoke
5487	-	SMOOTH	Sense perception	Not rough; having a surface texture that lacks friction.	Adjective	15.77	-	smooth	-	-	-	-
3388	-	SNAKE	Animals	Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.	Noun	3.85	-	-	snake	-	snake	snake
1511046	-	SNIFF	Sense perception	To make a short, audible inhalation, through the nose, as if to smell something.	Verb	15.212	-	-	-	-	-	-
3455	8047	SNOW	The physical world	The most common form of frozen precipitation, usually flakes or starlike crystals, matted ice needles, or combinations, and often rime-coated.	Noun	1.76	-	snow	-	-	-	-
7907	-	SOFT	Sense perception	A state of consistency allowing alterations of form with ease, no big force required, to bring things into something of this state (such as e.g. soaked loam or clay soil).	Adjective	15.75	-	-	-	-	-	-
5481	3494;161681	SOIL	The physical world	The soft and loose material forming a great part of the Earth surface.	Noun	1.212	-	earth (as in soil)	-	soil	earth/soil	-
5499	-	SOME	Quantity	An unspecified quantity or number of.	Function word	13.181	-	some	-	-	-	-
6634	-	SON	Kinship	One's male child.	Noun	2.41	-	-	-	-	-	-
838324	-	SOUR	Sense perception	Having an acid, sharp or tangy taste.	Adjective	15.38	-	-	-	-	-	-
3588	-	SPIDER	Animals	Any predatory silk-producing arachnid of the order Araneae, having four pairs of legs and a rounded unsegmented body consisting of abdomen and cephalothorax.	Noun	3.818	-	-	-	-	-	-
6051	-	SPIT	The body	To forcefully evacuate saliva from the mouth.	Verb	4.56	-	to spit	-	-	to spit	spit
6048	-	SPLIT	Basic actions and technology	To divide fully or partly along a more or less straight line.	Verb	9.27	-	to split	-	-	to split	-
6017	441998;441891	SQUEEZE	Basic actions and technology	To apply pressure to something from two or more sides at once.	Verb	9.343	-	to squeeze	-	-	to squeeze	squeeze
6045	-	STAB	Basic actions and technology	To pierce or to wound with a pointed tool or weapon, especially a knife or dagger.	Verb	9.223	-	to stab (or stick)	-	-	to stab, pierce	-
6053	-	STAND	Spatial relations	To be upright in an erect position, supported by the feet.	Verb	12.15	-	to stand	stand	to stand	to stand	stand
6041	-	STAR	The physical world	A luminous celestial body that is made from gases (particularly hydrogen and helium) and forms the shape of a sphere.	Noun	1.54	-	star	star	star	star	star
336072	-	STEAL	Law	To take possession of property belonging to another without the consent of this owner; most typically when not observed, rather than by force.	Verb	21.51	-	-	-	-	-	steal
5662	484273	STICK	The physical world	A long, thin piece of wood, mainly left in the shape in which it grew, that does not bend.	Noun	-	-	stick (of wood)	-	-	stick/wood	stick
3633	-	STONE	The physical world	A general term for rock that is used in construction, either crushed for use as aggregate or cut into shaped blocks as dimension stone.	Noun	1.44	-	stone	stone	stone/rock	stone	stone
5994	-	STRAIGHT	Spatial relations	Not crooked or bent; having a constant direction throughout its length.	Adjective	12.73	-	straight	-	-	-	-
6027	-	SUCK	Food and drink	To draw in a substance by creating a practical vacuum in the mouth, and as a result a difference in pressure.	Verb	5.16	-	to suck	-	to suck	to suck	-
5850	-	SUN	The physical world	The particular star at the centre of our solar system, from which the Earth gets light and heat.	Noun	1.52	-	sun	sun	-	-	sun/day
1250835	-	SWEAT	The body	A fluid that is secreted by sweat glands in the skin in order to regulate body temperature.	Noun	-	-	-	-	-	-	-
336426	-	SWEET	Sense perception	Having the taste characteristic of sugar or honey.	Adjective	15.35	-	-	-	-	-	sweet
6454	-	SWELL	Basic actions and technology	To grow larger in volume.	Verb	-	-	to swell	-	-	to swell	-
1541112	-	SWIDDEN FIELD	Agriculture and vegetation	a piece of land cleared for farming by burning away vegetation.	Noun	-	-	-	-	-	-	-
6050	-	SWIM	Motion	To move through the water, without touching the bottom.	Verb	10.35	-	to swim	swim	-	to swim	-
5468	-	TAIL	The body	The appendage of an animal that is attached to its posterior and near the anus.	Noun	4.18	-	tail	tail	tail	tail	tail
7077	7079	TAKE	Possession	To grasp with the hands.	Verb	11.13	-	-	-	-	-	-
335942	-	TALL	Spatial relations	Having a vertical extent greater than the average; Having the upper end, tip, top, head, etc. a long way up; Having a great vertical extent (often greater than the horizontal extent); High.	Adjective	12.58	-	-	-	-	-	-
6312	-	TEN	Quantity	The cardinal number occurring after nine and before eleven, represented in Roman numerals as X, in Arabic numerals as 10, and in the hexadecimal system (base 16) as A.	Function word	13.1	-	-	-	-	-	ten
1149393	5489	THAT	Miscellaneous function words	Demonstrative pronoun (feminine, singular): the indicated thing is implied, since it is previously mentioned. Collocation: that of; to that of.	Function word	24.08	-	that	that	-	that	-
1506073	-	THATCH	The house	Natural roofing material such as straw, reeds, leaves, etc.	Noun	7.52	-	-	-	-	-	-
858309	5489	THERE	Miscellaneous function words	In a not completely determined place which is not here.	Function word	24.1	-	there	-	-	-	-
352331	-	THEY	Kinship	The third person plural of the personal pronoun that designates more than one person or animal, thing or idea which have already been mentioned previously.	Function word	2.96	-	they	-	-	they	-
5503	-	THICK	Spatial relations	Relatively large distance from one surface to the opposite in its smallest solid dimension.	Adjective	12.63	-	thick	-	thick	thick	thick
348189	-	THIGH	The body	The area between the pelvis and buttocks and the knee.	Noun	4.351	-	-	-	-	-	-
5990	-	THIN	Spatial relations	(Of a person or animal) Narrow in size, and usually indicating carrying little fat.	Adjective	12.65	-	thin	thin	-	thin	thin
6309	-	THINK, BELIEVE	Cognition	To have as opinion, belief, or idea.	Verb	17.14	-	-	-	-	-	-
6021	-	THINK, REFLECT	Cognition	To actively and consciously use one's mental powers, usually to form ideas.	Verb	17.13	-	to think	-	-	to think	-
5458	1370685	THIS	Miscellaneous function words	The indicated object, item, etc.	Function word	24.07	-	this	this	this	this	-
1243793	-	THORN	Agriculture and vegetation	A sharp and hard structure that grows on a plant.	Noun	-	-	-	-	-	-	-
5459	-	THOU	Kinship	The person addressed.	Function word	2.92	ye	thou	thou	2sg pronoun	thou	thou
7755	-	THOUSAND	Quantity	Ten times hundred.	Function word	13.106	-	-	-	-	-	-
156096	5424	THREE	Quantity	The third natural number (3).	Function word	13.03	-	three	-	-	Three	three
6072	-	THROW	Motion	To cause (an object) to move rapidly through the air, with the force of the hand or arm.	Verb	10.25	-	to throw	-	-	to throw	-
509787	-	THUNDER	The physical world	Sound produced by fast air expansion induced by a lightning.	Noun	1.56	-	-	-	-	-	-
844574	6453	TIE	Basic actions and technology	To establish connection between two or more things.	Verb	9.16	-	to tie	-	to tie	to tie up, fasten	tie
5969	-	TOE	The body	One of the extremities of the foot.	Noun	4.38	-	-	-	-	-	-
5440	-	TONGUE	The body	The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.	Noun	4.26	-	tongue	tongue	tongue	tongue	tongue
5946	-	TOOTH	The body	A hard, calcareous structure present in the mouth of many vertebrate animals, generally used for eating.	Noun	4.27	-	tooth (rather not molar)	tooth	tooth	tooth	tooth
3854	-	TREE	Agriculture and vegetation	Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.	Noun	8.6	-	tree	tree	-	-	tree/wood
6526	6055	TURN	Motion	To change direction of movement.	Verb	10.12	-	-	-	-	-	-
6055	-	TURN AROUND	Motion	To position by moving an object around its axis.	Verb	10.13	-	to turn (change direction)	-	-	-	-
7013	-	TWENTY	Quantity	The cardinal number occurring after nineteen and before twenty-one, represented in Roman numerals as XX and in Arabic numerals as 20.	Function word	13.104	-	-	-	-	-	twenty/score
6248	5425	TWO	Quantity	The cardinal number occurring after one and before three, represented in Roman numerals as II and in Arabic numerals as 2.	Function word	13.02	-	two	two	-	Two	two
480525	-	UNCOVER	Basic actions and technology	To uncover; to show and display that which was hidden.	Verb	-	-	-	-	-	-	-
7685	-	VAGINA	The body	The lower part of the female reproductive tract; a moist canal in female mammals extending from the labia minora to the uterus.	Noun	4.493	-	-	-	-	-	-
3938	-	VALLEY	The physical world	Any low-lying land bordered by higher ground; especially an elongate, relatively large, gently sloping depression of the Earth's surface, commonly situated between two mountains or between ranges of hills or mountains, and often containing a stream with an outlet.	Noun	1.24	-	-	-	-	-	-
3962	-	VERMIN	Animals	Small animals and insects that can be harmful and which are difficult to control when they appear in large numbers. (Source: CAMB)	Noun	-	-	-	-	-	-	-
3968	687459	VILLAGE	Social and political relations	A group of houses and other buildings, such as a church, a school and some shops, which is smaller than a town, usually in the countryside.	Noun	19.16	-	-	-	-	-	-
5617	-	VOMIT	The body	To regurgitate the contents of the stomach.	Verb	4.57	-	to vomit	-	-	to vomit	vomit
6557	6558	WAKE UP	The body	To stop sleeping.	Verb	4.63	-	-	-	-	-	-
6054	-	WALK	Motion	To move from one place to another by moving legs alternately, so that at least one foot is in contact with the floor or surface at any one time.	Verb	10.45	-	to walk	walk(go)	-	to walk	-
5485	-	WARM	Sense perception	Having a temperature slightly higher than usual, still pleasant.	Adjective	15.851	-	warm (as in weather)	warm	-	warm	warm
6069	-	WASH	Basic actions and technology	To remove dirt and grime from an object, using water (usually with soap).	Verb	9.36	-	to wash	-	-	-	wash
4118	-	WATER	The physical world	Common liquid (H₂O) which forms rain, rivers, the sea, etc., and which makes up a large part of the bodies of organisms.	Noun	1.31	-	water	water	water	water	water
5455	-	WE	Kinship	The speaker or writer and at least one other person.	Function word	2.94	-	we	we	-	we	-
1280854	-	WEAVE	Clothing and grooming	To make, as fabric, by enterlacing threads.	Verb	6.33	-	-	-	-	-	-
7027	-	WET	Sense perception	Covered with or impregnated with liquid.	Adjective	15.83	-	wet	-	-	wet	-
5491	-	WHAT	Cognition	Which thing.	Function word	17.64	-	what	what	what?	what?	-
5493	-	WHEN	Cognition	at what time	Function word	17.65	-	when	-	-	when?	-
5492	-	WHERE	Cognition	At what place?	Function word	17.66	-	where	-	-	where?	-
5825	5872	WHITE	Sense perception	Bright and colourless; reflecting equal quantities of all frequencies of visible light.	Adjective	15.64	-	white	white	-	white	white
5490	-	WHO	Cognition	What person or people; which person or people.	Function word	17.68	-	who	who	who?	who?	-
5502	-	WIDE	Spatial relations	Having a long distance or area between two points, especially horizontally.	Adjective	12.61	-	wide	-	wide	wide	-
5429	-	WIFE	Kinship	A married woman.	Noun	2.32	-	wife	-	-	wife	-
4160	-	WIND	The physical world	The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion.	Noun	1.72	-	wind (as in breeze)	wind	wind	wind	wind
5528	-	WING	The body	The appendage of an animal's (bird, bat, insect) body that enables it to fly in the air.	Noun	4.392	-	wing	-	wing	wing	wing
6070	-	WIPE	Basic actions and technology	To move an object or utensil over a surface or other object while maintaining contact, in order that a substance be removed from its surface.	Verb	9.311	-	to wipe	-	-	-	-
5844	7435;5845;5843	WITH	Miscellaneous function words	In the company of	Function word	24.04	-	with (accompanying)	-	-	-	-
4165	-	WOMAN	Kinship	An adult human member of the sex that produces ova and bears young.	Noun	2.22	-	woman	woman	-	woman/female	-
741520	-	WOOD	The physical world	The substance making up the central part of the trunk and branches of a tree. Used as a material for construction, to manufacture various items, etc. or as fuel.	Noun	1.43	-	-	-	-	stick/wood	tree/wood
4168	-	WOODS	The physical world	A dense growth of trees more extensive than a grove and smaller than a forest.	Noun	1.41	-	-	-	-	woods/forest	-
471303	1507122	WORK, ACTIVITY	Basic actions and technology	To do a specific task by employing physical or mental powers.	Verb	-	-	-	-	-	-	-
5466	-	WORM	Animals	A generally tubular invertebrate of the annelid phylum.	Noun	3.84	-	worm	worm	-	worm (earthworm)	-
441371	-	YAWN	The body	To open the mouth widely and take a long, deep breath because of tiredness or boredom.	Verb	4.52	-	-	-	-	-	-
5478	5605	YEAR	Time	The time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).	Noun	14.73	-	year	year	-	year	year
6031	-	YELLOW	Sense perception	Having the colour of a yolk, a lemon or gold.	Adjective	15.69	-	yellow	yellow	-	yellow	-
525186	5603	YESTERDAY	Time	The day before today.	Function word	14.49	-	-	-	-	-	-
5456	-	YOU	Kinship	The group of persons addressed.	Function word	2.95	-	-	-	-	you	-
6816	-	TRUE	Emotions and values	Concurring with a given set of facts.	Adjective	16.66	-	-	-	-	-	-
